State,District Name,School Name
Texas,GREAT HEARTS TEXAS,Great Hearts Northern Oaks
Texas,GREAT HEARTS TEXAS,Great Hearts Irving
Texas,ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,Eleanor Kolitz Hebrew Language Academy
Texas,CARPE DIEM SCHOOLS,Carpe Diem Schools
Texas,COMPASS ROSE ACADEMY,Compass Rose Academy
Texas,ALAMO HEIGHTS ISD,Alamo Heights High School 
Texas,ALAMO HEIGHTS ISD,Bexar Co Juvenile Justice Alternative Education Programs
Texas,ALAMO HEIGHTS ISD,Alamo Heights Junior High
Texas,ALAMO HEIGHTS ISD,Cambridge Elementary
Texas,ALAMO HEIGHTS ISD,Howard Elementary
Texas,ALAMO HEIGHTS ISD,Woodridge Elementary
Texas,HARLANDALE ISD,Harlandale High School 
Texas,HARLANDALE ISD,Mccollum High School 
Texas,HARLANDALE ISD,Hac Disciplinary Alternative Education Program High School 
Texas,HARLANDALE ISD,Frank M Tejeda Academy
Texas,HARLANDALE ISD,Bexar Co Juvenile Justice Alternative Education Programs
Texas,HARLANDALE ISD,Harlandale Alternative Center Boot High School 
Texas,HARLANDALE ISD,Fenley Transitional High School 
Texas,HARLANDALE ISD,Harlandale Isd Stem Echs-Alamo Colleges At Pac
Texas,HARLANDALE ISD,Harlandale Middle
Texas,HARLANDALE ISD,A Leal Jr Middle
Texas,HARLANDALE ISD,Terrell Wells Middle
Texas,HARLANDALE ISD,Kingsborough Middle
Texas,HARLANDALE ISD,Hac Disciplinary Alternative Education Program Middle
Texas,HARLANDALE ISD,Harlandale Alternative Center Boot Middle
Texas,HARLANDALE ISD,Fenley Transitional Middle
Texas,HARLANDALE ISD,Tejeda Junior Academy
Texas,HARLANDALE ISD,Carroll Bell Elementary
Texas,HARLANDALE ISD,Bellaire Elementary
Texas,HARLANDALE ISD,Collier Elementary
Texas,HARLANDALE ISD,Columbia Heights Elementary
Texas,HARLANDALE ISD,Stonewall/Flanders Elementary
Texas,HARLANDALE ISD,V M Adams Elementary
